point     x     y
    0   729     4
    1  1984     3
    2  1571     4
    3  1661    14
    4  1956    13
    5  2163    33
    6  1900    36
    7  1993    38
    8  1455    48
    9  2156    48
   10  2468    49
   11  2214    52
   12  2481    58
   13  2035    72
   14   739    75
   15   743   104
   16  1161   105
   17  2257   125
   18  1699   147
   19  1144   148
   20  1684   152
   21   228   161
   22  2185   175
   23   728   181
   24   614   194
   25  2185   196
   26   846   199
   27   758   202
   28  2506   207
   29  2495   217
   30  1805   219
   31   243   227
   32  2211   234
   33   870   235
   34   950   236
   35  2059   243
   36  2605   244
   37  2499   248
   38   246   247
   39  1022   246
   40    13   253
   41  2521   253
   42  2071   260
   43   837   264
   44   826   273
   45  2050   289
   46   795   291
   47   959   293
   48  1627   293
   49   384   298
   50   334   299
   51  1730   307
   52  1262   313
   53  1671   314
   54   372   315
   55   246   322
   56  2510   324
   57  1380   328
   58  1674   342
   59  1889   342
   60  1369   356
   61  2272   356
   62  2473   380
   63  1888   393
   64   314   401
   65   176   404
   66   665   416
   67   783   419
   68   319   420
   69   389   438
   70   818   441
   71  1331   443
   72   636   444
   73  2199   445
   74   614   453
   75  1316   457
   76  1403   463
   77   648   463
   78   291   468
   79   322   469
   80  1153   475
   81   755   480
   82   969   482
   83   981   485
   84   338   493
   85  1706   493
   86  1151   499
   87   676   521
   88   135   533
   89  2116   543
   90   560   547
   91  1981   547
   92   337   568
   93  1991   568
   94   556   578
   95   995   576
   96   364   597
   97  1230   623
   98  1032   637
   99  1226   643
  100  2616   644
  101  2135   652
  102  2131   665
  103   766   665
  104  1769   666
  105  2101   666
  106   811   678
  107  2105   683
  108  2310   688
  109  1757   688
  110  2312   704
  111   331   711
  112   429   714
  113   369   720
  114  1212   722
  115  1685   726
  116   776   729
  117  1662   731
  118  1901   732
  119  1083   740
  120   298   740
  121  1226   742
  122  1191   752
  123  1645   751
  124   151   757
  125  1076   757
  126   538   761
  127   292   764
  128  1879   770
  129  1489   774
  130  1879   784
  131  1168   785
  132  1905   788
  133  1940   787
  134  1476   793
  135   646   795
  136  1490   800
  137   161   800
  138  1577   803
  139   648   807
  140   394   811
  141  2358   815
  142  1565   822
  143  2325   851
  144  1681   870
  145   344   877
  146  2321   875
  147   526   885
  148  1623   892
  149  1598   899
  150  1702   903
  151  1721   905
  152  1683   908
  153  1379   934
  154  1211   946
  155  1375   951
  156  1192   950
  157  1233   967
  158  2506   969
  159  2416   987
  160  2025   989
  161   595   989
  162  2336   996
  163  2023  1004
  164  2585  1007
  165   286  1010
