 point	      x	      y	  slice
     0	    815	     17	      1
     1	   2088	    104	      1
     2	   2036	    167	      1
     3	   3322	    239	      1
     4	   3404	    294	      1
     5	   3329	    365	      1
     6	   3398	    377	      1
     7	   3443	    434	      1
     8	   3374	    438	      1
     9	   2872	    596	      1
    10	   2779	    607	      1
    11	   2618	    661	      1
    12	   2790	    666	      1
    13	   2717	    691	      1
    14	   1680	    717	      1
    15	   2659	    732	      1
    16	   2875	    736	      1
    17	   2871	    808	      1
    18	   1712	    813	      1
    19	   1783	    825	      1
    20	   1880	    857	      1
    21	   1949	    859	      1
    22	   1740	    875	      1
    23	   1807	    896	      1
    24	   2039	    902	      1
    25	   2293	    910	      1
    26	   2400	    911	      1
    27	   4349	    920	      1
    28	   2147	    927	      1
    29	   2360	    997	      1
    30	   2088	   1026	      1
    31	   4482	   1040	      1
    32	   4523	   1096	      1
    33	   4866	   1105	      1
    34	   4592	   1160	      1
    35	   4464	   1196	      1
    36	   4047	   1669	      1
    37	   3596	   1678	      1
    38	   3694	   1692	      1
    39	   4002	   1756	      1
    40	   3868	   1764	      1
    41	   4207	   1774	      1
    42	   2421	   1812	      1
    43	   4146	   1823	      1
    44	   2747	   1884	      1
    45	   2692	   1965	      1
    46	   2613	   1980	      1
    47	   2483	   2015	      1
    48	   2363	   2041	      1
    49	   2593	   2060	      1
    50	   2764	   2075	      1
    51	   2420	   2088	      1
    52	   2688	   2090	      1
    53	   2507	   2092	      1
    54	   2630	   2111	      1
    55	   2733	   2139	      1
    56	   2546	   2159	      1
    57	   2610	   2175	      1
    58	   2678	   2178	      1
    59	   2495	   2203	      1
    60	   2632	   2240	      1
    61	   2569	   2247	      1
    62	   2687	   2251	      1
    63	   2545	   2309	      1
    64	   2678	   2323	      1
    65	   2478	   2332	      1
    66	   2545	   2407	      1
    67	   2506	   2447	      1
    68	   3131	   2457	      1
    69	   3153	   2538	      1
    70	   3202	   2606	      1
    71	   3121	   2648	      1
    72	   2673	   2657	      1
    73	   2751	   2734	      1
    74	   1855	   2739	      1
    75	   1626	   2739	      1
    76	   3159	   2745	      1
    77	   1703	   2792	      1
    78	   2737	   2793	      1
    79	   1610	   2811	      1
    80	   1541	   2850	      1
    81	   3107	   2854	      1
    82	   3162	   2898	      1
    83	   1730	   2903	      1
    84	   1566	   2946	      1
    85	   1646	   2992	      1
    86	   1560	   3018	      1
    87	   2545	   3089	      1
    88	   1546	   3094	      1
    89	   4055	   3125	      1
    90	   3965	   3135	      1
    91	   3896	   3178	      1
    92	   3968	   3206	      1
    93	   3428	   3217	      1
    94	   4022	   3223	      1
    95	   3491	   3229	      1
    96	   5048	   3243	      1
    97	   4001	   3277	      1
    98	   3488	   3338	      1
    99	   3980	   3356	      1
   100	   4053	   3378	      1
   101	   4114	   3506	      1
   102	   3903	   3560	      1
   103	   1282	   3587	      1
   104	   3991	   3611	      1
   105	   3176	   3625	      1
   106	   3093	   3624	      1
   107	   4042	   3637	      1
   108	   3919	   3639	      1
   109	   3671	   3676	      1
   110	   3987	   3683	      1
   111	   1294	   3699	      1
   112	   3506	   3707	      1
   113	   4043	   3710	      1
   114	   3613	   3719	      1
   115	   3301	   3722	      1
   116	   4874	   3750	      1
   117	   3360	   3752	      1
   118	   4008	   3754	      1
   119	   2985	   3757	      1
   120	   2697	   3760	      1
   121	   3713	   3760	      1
   122	   2840	   3774	      1
   123	   2933	   3800	      1
   124	   4108	   3799	      1
   125	   4051	   3801	      1
   126	   3988	   3817	      1
   127	   3371	   3821	      1
   128	   2661	   3826	      1
   129	   3634	   3825	      1
   130	   4854	   3830	      1
   131	   1184	   3830	      1
   132	   2837	   3832	      1
   133	   4170	   3859	      1
   134	   3783	   3856	      1
   135	   2890	   3861	      1
   136	   2958	   3859	      1
   137	   4109	   3866	      1
   138	   4029	   3872	      1
   139	   2711	   3877	      1
   140	   3406	   3882	      1
   141	   4882	   3888	      1
   142	   3726	   3894	      1
   143	   2821	   3899	      1
   144	   3310	   3910	      1
   145	   4184	   3923	      1
   146	   2631	   3929	      1
   147	   3854	   3933	      1
   148	   4829	   3951	      1
   149	   2780	   3956	      1
   150	   2702	   3995	      1
   151	   4802	   4007	      1
   152	   2653	   4048	      1
   153	   2741	   4053	      1
   154	   2217	   4051	      1
   155	   2826	   4054	      1
   156	   2270	   4070	      1
   157	   2358	   4076	      1
   158	   2529	   4084	      1
   159	   4842	   4085	      1
   160	   2611	   4107	      1
   161	   2314	   4130	      1
   162	   2516	   4132	      1
   163	   2261	   4142	      1
   164	   4819	   4147	      1
   165	   5218	   4188	      1
   166	   4809	   4247	      1
   167	   5218	   4252	      1
   168	   4787	   4348	      1
   169	   5154	   4501	      1
   170	   5251	   4511	      1
   171	   5198	   4545	      1
   172	   5123	   4574	      1
   173	   5241	   4619	      1
   174	   5184	   4637	      1
   175	   5518	   4642	      1
   176	   5429	   4651	      1
   177	   5126	   4664	      1
   178	   5299	   4675	      1
   179	   5482	   4709	      1
   180	   5402	   4725	      1
   181	   5287	   4744	      1
   182	   5327	   4783	      1
   183	   5435	   4783	      1
   184	   5546	   4792	      1
   185	   5230	   4800	      1
   186	   5758	   4807	      1
   187	   2490	   4828	      1
   188	   5596	   4833	      1
   189	   5652	   4857	      1
   190	   2459	   4877	      1
   191	   5633	   4908	      1
   192	   5688	   4932	      1
   193	   5580	   4933	      1
   194	   2407	   4940	      1
   195	   5713	   4991	      1
   196	   5752	   5063	      1
   197	   5820	   5119	      1
   198	   5761	   5127	      1
   199	   3703	   5170	      1
   200	   3754	   5181	      1
   201	   1922	   5197	      1
   202	   2015	   5220	      1
   203	   2084	   5242	      1
   204	   3587	   5249	      1
   205	   2775	   5251	      1
   206	   1999	   5252	      1
   207	   3698	   5252	      1
   208	   3791	   5258	      1
   209	   1948	   5272	      1
   210	   1891	   5280	      1
   211	   2712	   5292	      1
   212	   1447	   5293	      1
   213	   1371	   5331	      1
   214	   3595	   5335	      1
   215	   3783	   5342	      1
   216	   2721	   5360	      1
   217	   1462	   5375	      1
   218	   4258	   5505	      1
   219	   4241	   5586	      1
   220	   4256	   5732	      1
   221	   3750	   5783	      1
   222	   4222	   5807	      1
   223	   3735	   5892	      1
   224	   3652	   5915	      1
   225	   3822	   5934	      1
   226	   3910	   5936	      1
   227	   3779	   5992	      1
   228	   3657	   6000	      1
