point     x     y
    0   547    51
    1  2184    59
    2   850    63
    3  2498    74
    4   997    90
    5  1128   198
    6  1948   235
    7  1652   358
    8  1625   391
    9  1867   396
   10   537   469
   11   156   519
   12  2276   532
   13   306   720
   14   810   738
   15  1930   759
   16  1629   781
   17   414   797
   18  1153   819
   19   687   999
   20   986  1000
   21   444  1049
   22  1601  1115
   23  2210  1225
   24  1380  1313
   25   624  1416
   26  1684  1425
   27   229  1547
   28  1630  1574
   29  1277  1651
   30   978  1714
   31   229  1740
   32  2208  1808
   33  2246  1809
   34   530  1820
   35  1257  1821
   36   543  1837
   37  1200  1908
   38   628  2036
   39     6  2185
   40  2587  2269
   41   984  2308
   42   662  2319
   43  1553  2470
   44   296    14
   45   249    38
   46   697   517
   47   522   405
   48   514  1847
   49   465  1933
   50   118  2111
   51   388  2619
   52   669  2522
   53  1384  2412
   54   979  2212
   55  1151  1808
   56  1152  1751
   57   902  1826
   58  1161  1255
   59  1001   552
   60  1318   433
   61  1263    33
   62  1891   161
   63  1819   194
   64  1670   848
   65  1804   930
   66  1932   937
   67  1857  1073
   68  1977  1626
   69  1670  2291
   70  2336  1500
   71  2330  1525
   72  2171   946
   73  2600   993
   74  2253   353
